kind,id,namespace,gated_namespace,removed,source,detail
item,minecraft:structure_block,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:polished_blackstone_brick_slab,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:cherry_sapling,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:basalt,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:chiseled_deepslate,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:gray_candle,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:brown_mushroom,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:gold_ingot,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:red_wool,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:stripped_dark_oak_wood,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:stonecutter,minecraft,true,true,MANIFEST_DEFAULT,"manifest.json (remove, UNVERIFIED)"
item,minecraft:soul_torch,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:nether_gold_ore,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:bone_block,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:raw_iron,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:eye_armor_trim_smithing_template,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:black_concrete,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:melon,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:iron_nugget,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:birch_fence,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:cracked_deepslate_tiles,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:red_nether_brick_slab,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:deepslate_gold_ore,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:tall_grass,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:warped_fence_gate,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:cooked_rabbit,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:ravager_spawn_egg,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:cornflower,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:red_mushroom,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:red_mushroom_block,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:nether_wart_block,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:bamboo_fence_gate,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:snort_pottery_sherd,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:green_concrete,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:magenta_banner,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:cobblestone_wall,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:magenta_wool,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:lime_stained_glass_pane,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:gray_dye,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:mangrove_fence_gate,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:mule_spawn_egg,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:warped_pressure_plate,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:waxed_cut_copper_slab,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:coal_block,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:raw_copper,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
